,molregno,chembl_id,mw_freebase,alogp,hba,hbd,psa,rtb,cx_most_apka,cx_most_bpka,cx_logp,cx_logd,full_mwt,aromatic_rings,heavy_atoms,qed_weighted,mw_monoisotopic,full_molformula,hba_lipinski,hbd_lipinski,molecular_species_ACID,molecular_species_BASE,molecular_species_NEUTRAL,grupos,grupos_cluster_knn
7,43896,CHEMBL31000,222.68,2.29,3.0,2.0,45.15,3.0,,7.29,1.52,1.28,222.68,2.0,15.0,0.84,222.056,C11H11ClN2O,3.0,2.0,0,0,1,0,0
11,147149,CHEMBL313679,286.2,2.81,2.0,2.0,50.74,3.0,6.6,3.63,3.08,2.39,286.2,1.0,15.0,0.38,284.9935,C10H12BrN3S,3.0,2.0,0,0,1,0,0
12,147999,CHEMBL90512,262.17,2.96,2.0,2.0,50.74,2.0,6.31,3.63,2.82,1.98,262.17,1.0,15.0,0.37,260.9894,C9H9Cl2N3S,3.0,2.0,1,0,0,0,0
403,2206124,CHEMBL4066213,166.22,0.85,2.0,1.0,28.26,2.0,,6.49,0.7,0.65,166.22,1.0,12.0,0.71,166.1106,C9H14N2O,3.0,1.0,0,0,1,0,0
217,1727148,CHEMBL3220745,284.36,2.15,3.0,2.0,52.8,3.0,,10.01,1.96,-0.73,284.36,2.0,21.0,0.67,284.1637,C16H20N4O,5.0,2.0,0,1,0,0,0
178,1501180,CHEMBL2297590,272.17,2.01,2.0,2.0,50.41,2.0,11.67,1.59,2.28,2.28,272.17,1.0,14.0,0.49,270.9779,C9H10BrN3S,3.0,3.0,0,0,1,0,0
421,2233172,CHEMBL4093261,211.27,2.04,3.0,0.0,29.02,1.0,,5.23,2.52,2.51,211.27,2.0,16.0,0.72,211.1109,C13H13N3,3.0,0.0,0,0,1,1,1
420,2231485,CHEMBL4091574,266.34,2.68,2.0,1.0,32.34,3.0,13.5,6.83,2.87,2.76,266.34,2.0,20.0,0.93,266.1419,C17H18N2O,3.0,1.0,0,0,1,1,1
419,2230573,CHEMBL4090662,233.31,0.87,3.0,1.0,35.58,3.0,13.5,7.21,0.95,0.73,233.31,1.0,17.0,0.84,233.1528,C13H19N3O,4.0,1.0,0,0,1,1,1
407,2209558,CHEMBL4069647,267.76,1.53,3.0,1.0,35.58,3.0,13.45,7.21,1.55,1.34,267.76,1.0,18.0,0.9,267.1138,C13H18ClN3O,4.0,1.0,0,0,1,1,1
406,2208519,CHEMBL4068608,179.27,0.76,2.0,1.0,22.27,2.0,,7.81,0.76,0.21,179.27,1.0,13.0,0.72,179.1422,C10H17N3,3.0,1.0,0,0,1,1,1
401,2203687,CHEMBL4063776,247.34,1.18,3.0,1.0,35.58,3.0,13.8,7.22,1.46,1.24,247.34,1.0,18.0,0.87,247.1685,C14H21N3O,4.0,1.0,0,0,1,1,1
216,1727147,CHEMBL3220744,280.37,2.69,2.0,2.0,39.66,2.0,,10.12,2.77,0.75,280.37,2.0,21.0,0.66,280.1688,C17H20N4,4.0,2.0,0,1,0,1,1
215,1727146,CHEMBL3220743,294.4,2.56,2.0,2.0,39.66,3.0,,10.56,2.9,0.07,294.4,2.0,22.0,0.67,294.1844,C18H22N4,4.0,2.0,0,1,0,1,1
111,1320006,CHEMBL1998715,276.19,2.81,2.0,2.0,36.42,2.0,11.44,1.08,2.94,2.94,276.19,1.0,16.0,0.5,275.0051,C10H11Cl2N3S,3.0,2.0,0,0,1,1,1
103,946076,CHEMBL1522192,280.37,2.99,2.0,1.0,32.34,3.0,13.8,6.86,3.38,3.27,280.37,2.0,21.0,0.94,280.1576,C18H20N2O,3.0,1.0,0,0,1,1,1
423,2235105,CHEMBL4095194,212.3,2.57,1.0,1.0,19.03,2.0,,7.82,2.68,2.12,212.3,2.0,16.0,0.81,212.1313,C14H16N2,2.0,1.0,0,0,1,1,1
90,712194,CHEMBL1276230,205.29,1.52,2.0,2.0,50.41,3.0,11.72,3.3,1.96,1.96,205.29,1.0,14.0,0.45,205.0674,C10H11N3S,3.0,3.0,0,0,1,2,2
48,455837,CHEMBL474332,235.31,1.18,3.0,2.0,59.64,2.0,11.67,2.01,1.66,1.66,235.31,1.0,16.0,0.6,235.0779,C11H13N3OS,4.0,3.0,0,0,1,2,2
47,455835,CHEMBL474331,235.31,1.18,3.0,2.0,59.64,2.0,11.67,2.04,1.66,1.66,235.31,1.0,16.0,0.6,235.0779,C11H13N3OS,4.0,3.0,0,0,1,2,2
22,391517,CHEMBL242106,221.33,1.98,2.0,2.0,50.41,3.0,11.71,3.05,2.91,2.91,221.33,1.0,15.0,0.47,221.0987,C11H15N3S,3.0,3.0,0,0,1,2,2
21,381572,CHEMBL226536,238.25,2.63,3.0,0.0,52.97,2.0,,,2.96,2.96,238.25,3.0,18.0,0.51,238.0742,C14H10N2O2,4.0,0.0,0,0,1,2,2
20,381566,CHEMBL227002,238.25,2.63,3.0,0.0,52.97,2.0,,,2.96,2.96,238.25,3.0,18.0,0.51,238.0742,C14H10N2O2,4.0,0.0,0,0,1,2,2
14,161080,CHEMBL99254,221.69,2.26,3.0,2.0,50.94,3.0,,9.62,1.41,-0.98,221.69,2.0,15.0,0.84,221.072,C11H12ClN3,3.0,3.0,0,1,0,2,2
10,114631,CHEMBL74689,193.28,1.66,2.0,2.0,50.74,2.0,6.94,3.64,1.61,1.11,193.28,1.0,13.0,0.32,193.0674,C9H11N3S,3.0,2.0,0,0,1,2,2
509,2453458,CHEMBL4583027,148.16,1.05,2.0,2.0,41.13,0.0,13.25,1.79,0.39,0.39,148.16,1.0,11.0,0.58,148.0637,C8H8N2O,3.0,2.0,0,0,1,2,2
