,molregno,chembl_id,mw_freebase,alogp,hba,hbd,psa,rtb,ro3_pass,num_ro5_violations,cx_most_apka,cx_most_bpka,cx_logp,cx_logd,molecular_species,full_mwt,aromatic_rings,heavy_atoms,qed_weighted,mw_monoisotopic,full_molformula,hba_lipinski,hbd_lipinski,num_lipinski_ro5_violations
102,770571,CHEMBL1346687,309.37,2.61,3.0,2.0,67.01,6.0,N,0.0,11.81,5.36,2.54,2.54,NEUTRAL,309.37,3.0,23.0,0.74,309.1477,C18H19N3O2,5.0,2.0,0.0
103,946076,CHEMBL1522192,280.37,2.99,2.0,1.0,32.34,3.0,Y,0.0,13.8,6.86,3.38,3.27,NEUTRAL,280.37,2.0,21.0,0.94,280.1576,C18H20N2O,3.0,1.0,0.0
104,996503,CHEMBL1572619,295.34,2.3,3.0,2.0,67.01,6.0,N,0.0,11.81,5.36,2.03,2.03,NEUTRAL,295.34,3.0,22.0,0.73,295.1321,C17H17N3O2,5.0,2.0,0.0
105,1052789,CHEMBL1630613,383.43,2.02,6.0,2.0,98.62,7.0,N,0.0,11.31,1.69,2.69,2.69,NEUTRAL,383.43,3.0,27.0,0.21,383.1052,C18H17N5O3S,8.0,2.0,0.0
106,1055099,CHEMBL1632060,312.33,0.81,4.0,0.0,78.44,4.0,N,0.0,-4.13,,-0.89,0.44,ACID,312.33,2.0,23.0,0.48,312.111,C17H16N2O4,6.0,0.0,0.0
107,1145652,CHEMBL1774603,291.78,2.0,4.0,1.0,39.6,3.0,N,0.0,,7.82,2.0,1.35,NEUTRAL,291.78,2.0,20.0,0.94,291.1138,C15H18ClN3O,4.0,1.0,0.0
108,1264400,CHEMBL1914484,250.28,1.08,4.0,2.0,93.55,2.0,N,0.0,11.67,1.24,1.76,1.76,NEUTRAL,250.28,1.0,17.0,0.47,250.0524,C10H10N4O2S,6.0,3.0,0.0
109,1264406,CHEMBL1916944,341.44,3.34,4.0,2.0,54.88,4.0,N,0.0,11.35,1.87,3.74,3.74,NEUTRAL,341.44,2.0,24.0,0.66,341.1198,C18H19N3O2S,5.0,2.0,0.0
110,1264408,CHEMBL1916946,375.88,3.99,4.0,2.0,54.88,4.0,N,0.0,11.35,1.41,4.35,4.35,NEUTRAL,375.88,2.0,25.0,0.62,375.0808,C18H18ClN3O2S,5.0,2.0,0.0
111,1320006,CHEMBL1998715,276.19,2.81,2.0,2.0,36.42,2.0,Y,0.0,11.44,1.08,2.94,2.94,NEUTRAL,276.19,1.0,16.0,0.5,275.0051,C10H11Cl2N3S,3.0,2.0,0.0
112,1345872,CHEMBL2036339,262.31,3.31,3.0,0.0,42.85,2.0,N,0.0,,5.39,2.72,2.71,NEUTRAL,262.31,2.0,20.0,0.78,262.1106,C17H14N2O,3.0,0.0,0.0
113,1358241,CHEMBL2064829,319.43,4.88,4.0,1.0,37.28,3.0,N,0.0,11.3,5.37,5.84,5.8,NEUTRAL,319.43,3.0,23.0,0.7,319.1143,C19H17N3S,3.0,1.0,0.0
114,1358244,CHEMBL2064832,379.49,4.9,6.0,1.0,55.74,5.0,N,0.0,11.29,5.1,5.53,5.51,NEUTRAL,379.49,3.0,27.0,0.64,379.1354,C21H21N3O2S,5.0,1.0,0.0
115,1358246,CHEMBL2064834,319.43,4.88,4.0,1.0,37.28,3.0,N,0.0,11.3,5.38,5.84,5.8,NEUTRAL,319.43,3.0,23.0,0.7,319.1143,C19H17N3S,3.0,1.0,0.0
116,1358247,CHEMBL2064835,333.46,5.19,4.0,1.0,37.28,3.0,N,1.0,11.3,5.44,6.35,6.31,NEUTRAL,333.46,3.0,24.0,0.67,333.13,C20H19N3S,3.0,1.0,1.0
117,1358248,CHEMBL2064836,353.88,5.53,4.0,1.0,37.28,3.0,N,1.0,11.27,4.9,6.45,6.43,NEUTRAL,353.88,3.0,24.0,0.63,353.0753,C19H16ClN3S,3.0,1.0,1.0
118,1358249,CHEMBL2064837,369.88,5.23,5.0,1.0,46.51,4.0,N,1.0,11.17,4.64,5.77,5.77,NEUTRAL,369.88,3.0,25.0,0.64,369.0703,C19H16ClN3OS,4.0,1.0,1.0
119,1358254,CHEMBL2064842,333.46,5.19,4.0,1.0,37.28,3.0,N,1.0,11.38,5.49,6.35,6.3,NEUTRAL,333.46,3.0,24.0,0.67,333.13,C20H19N3S,3.0,1.0,1.0
120,1358255,CHEMBL2064843,319.43,4.88,4.0,1.0,37.28,3.0,N,0.0,11.29,5.38,5.84,5.8,NEUTRAL,319.43,3.0,23.0,0.7,319.1143,C19H17N3S,3.0,1.0,0.0
121,1358256,CHEMBL2064844,333.46,5.19,4.0,1.0,37.28,3.0,N,1.0,11.3,5.43,6.35,6.31,NEUTRAL,333.46,3.0,24.0,0.67,333.13,C20H19N3S,3.0,1.0,1.0
122,1424662,CHEMBL2158129,338.32,2.21,7.0,2.0,109.84,5.0,N,0.0,9.14,1.62,3.17,3.17,NEUTRAL,338.32,3.0,25.0,0.55,338.1015,C17H14N4O4,8.0,2.0,0.0
123,1424663,CHEMBL2158130,352.35,2.52,7.0,2.0,109.84,5.0,N,0.0,9.14,1.57,3.67,3.67,NEUTRAL,352.35,3.0,26.0,0.54,352.1172,C18H16N4O4,8.0,2.0,0.0
124,1424664,CHEMBL2158131,356.31,2.35,7.0,2.0,109.84,5.0,N,0.0,9.14,1.22,3.32,3.31,NEUTRAL,356.31,3.0,26.0,0.54,356.0921,C17H13FN4O4,8.0,2.0,0.0
125,1424665,CHEMBL2158132,372.77,2.87,7.0,2.0,109.84,5.0,N,0.0,9.14,1.23,3.74,3.73,NEUTRAL,372.77,3.0,26.0,0.53,372.0625,C17H13ClN4O4,8.0,2.0,0.0
126,1424666,CHEMBL2158133,417.22,2.98,7.0,2.0,109.84,5.0,N,0.0,9.14,1.21,3.95,3.94,NEUTRAL,417.22,3.0,26.0,0.49,416.012,C17H13BrN4O4,8.0,2.0,0.0
127,1424667,CHEMBL2158134,383.32,2.12,9.0,2.0,152.98,6.0,N,0.0,9.14,1.21,3.13,3.12,NEUTRAL,383.32,3.0,28.0,0.37,383.0866,C17H13N5O6,11.0,2.0,1.0
128,1424668,CHEMBL2158135,354.32,1.92,8.0,3.0,130.07,5.0,N,0.0,8.74,1.41,2.9,2.88,NEUTRAL,354.32,3.0,26.0,0.47,354.0964,C17H14N4O5,9.0,3.0,0.0
129,1424669,CHEMBL2158136,368.35,2.22,8.0,2.0,119.07,6.0,N,0.0,9.14,1.4,2.98,2.97,NEUTRAL,368.35,3.0,27.0,0.51,368.1121,C18H16N4O5,9.0,2.0,0.0
130,1424670,CHEMBL2158137,336.31,2.23,7.0,1.0,98.84,4.0,N,0.0,9.33,1.48,3.34,3.33,NEUTRAL,336.31,3.0,25.0,0.58,336.0859,C17H12N4O4,8.0,1.0,0.0
131,1424671,CHEMBL2158138,350.33,2.54,7.0,1.0,98.84,4.0,N,0.0,9.33,1.45,3.84,3.83,NEUTRAL,350.33,3.0,26.0,0.57,350.1015,C18H14N4O4,8.0,1.0,0.0
132,1424766,CHEMBL2158232,354.3,2.37,7.0,1.0,98.84,4.0,N,0.0,9.33,1.1,3.48,3.48,NEUTRAL,354.3,3.0,26.0,0.57,354.0764,C17H11FN4O4,8.0,1.0,0.0
133,1424767,CHEMBL2158233,370.75,2.88,7.0,1.0,98.84,4.0,N,0.0,9.33,1.11,3.9,3.9,NEUTRAL,370.75,3.0,26.0,0.56,370.0469,C17H11ClN4O4,8.0,1.0,0.0
134,1424768,CHEMBL2158234,415.2,2.99,7.0,1.0,98.84,4.0,N,0.0,9.33,1.09,4.11,4.1,NEUTRAL,415.2,3.0,26.0,0.52,413.9964,C17H11BrN4O4,8.0,1.0,0.0
135,1424770,CHEMBL2158236,352.31,1.93,8.0,2.0,119.07,4.0,N,0.0,8.81,1.28,3.06,3.04,NEUTRAL,352.31,3.0,26.0,0.54,352.0808,C17H12N4O5,9.0,2.0,0.0
136,1424771,CHEMBL2158237,366.33,2.24,8.0,1.0,108.07,5.0,N,0.0,9.33,1.28,3.14,3.14,NEUTRAL,366.33,3.0,27.0,0.54,366.0964,C18H14N4O5,9.0,1.0,0.0
137,1441137,CHEMBL2180323,353.45,4.69,6.0,1.0,55.74,7.0,N,0.0,10.34,4.24,4.96,4.95,NEUTRAL,353.45,3.0,25.0,0.49,353.1198,C19H19N3O2S,5.0,1.0,0.0
138,1441138,CHEMBL2180324,341.41,4.82,5.0,1.0,46.51,6.0,N,0.0,10.34,4.06,5.26,5.25,NEUTRAL,341.41,3.0,24.0,0.52,341.0998,C18H16FN3OS,4.0,1.0,0.0
139,1441139,CHEMBL2180325,357.87,5.33,5.0,1.0,46.51,6.0,N,1.0,10.34,4.06,5.72,5.71,NEUTRAL,357.87,3.0,24.0,0.48,357.0703,C18H16ClN3OS,4.0,1.0,1.0
140,1441140,CHEMBL2180326,402.32,5.44,5.0,1.0,46.51,6.0,N,1.0,10.34,4.01,5.88,5.88,NEUTRAL,402.32,3.0,24.0,0.44,401.0197,C18H16BrN3OS,4.0,1.0,1.0
141,1441141,CHEMBL2180327,368.42,4.59,7.0,1.0,89.65,7.0,N,0.0,10.32,3.99,5.05,5.05,NEUTRAL,368.42,3.0,26.0,0.37,368.0943,C18H16N4O3S,7.0,1.0,0.0
142,1441142,CHEMBL2180328,368.42,4.59,7.0,1.0,89.65,7.0,N,0.0,10.32,4.0,5.05,5.05,NEUTRAL,368.42,3.0,26.0,0.37,368.0943,C18H16N4O3S,7.0,1.0,0.0
143,1441143,CHEMBL2180329,392.31,5.98,5.0,1.0,46.51,6.0,N,1.0,10.33,3.66,6.32,6.32,NEUTRAL,392.31,3.0,25.0,0.41,391.0313,C18H15Cl2N3OS,4.0,1.0,1.0
144,1441144,CHEMBL2180330,392.31,5.98,5.0,1.0,46.51,6.0,N,1.0,10.3,3.67,6.32,6.32,NEUTRAL,392.31,3.0,25.0,0.41,391.0313,C18H15Cl2N3OS,4.0,1.0,1.0
145,1441145,CHEMBL2180331,426.76,6.64,5.0,1.0,46.51,6.0,N,1.0,10.3,3.34,6.93,6.93,NEUTRAL,426.76,3.0,26.0,0.27,424.9923,C18H14Cl3N3OS,4.0,1.0,1.0
146,1441146,CHEMBL2180332,379.53,5.97,5.0,1.0,46.51,6.0,N,1.0,10.34,4.35,6.66,6.65,NEUTRAL,379.53,3.0,27.0,0.42,379.1718,C22H25N3OS,4.0,1.0,1.0
147,1441147,CHEMBL2180333,373.48,5.83,5.0,1.0,46.51,6.0,N,1.0,10.34,4.64,6.1,6.09,NEUTRAL,373.48,4.0,27.0,0.34,373.1249,C22H19N3OS,4.0,1.0,1.0
148,1441148,CHEMBL2180334,327.41,4.19,6.0,1.0,59.65,7.0,N,0.0,10.44,3.91,4.11,4.1,NEUTRAL,327.41,3.0,23.0,0.52,327.1041,C17H17N3O2S,5.0,1.0,0.0
149,1441149,CHEMBL2180335,329.45,4.74,6.0,1.0,46.51,6.0,N,0.0,10.24,4.32,4.89,4.88,NEUTRAL,329.45,3.0,22.0,0.52,329.0657,C16H15N3OS2,4.0,1.0,0.0
150,1441150,CHEMBL2180336,337.45,4.11,5.0,0.0,38.88,5.0,N,0.0,,3.16,3.73,3.73,NEUTRAL,337.45,3.0,24.0,0.51,337.1249,C19H19N3OS,4.0,0.0,0.0
151,1441151,CHEMBL2180337,399.52,5.56,5.0,0.0,38.88,6.0,N,1.0,,0.76,5.4,5.4,NEUTRAL,399.52,4.0,29.0,0.31,399.1405,C24H21N3OS,4.0,0.0,1.0
152,1441152,CHEMBL2180338,353.45,3.74,5.0,0.0,54.26,5.0,N,0.0,7.65,,3.57,3.38,NEUTRAL,353.45,2.0,25.0,0.61,353.1198,C19H19N3O2S,5.0,0.0,0.0
153,1441153,CHEMBL2180339,339.42,3.58,5.0,0.0,54.26,5.0,N,0.0,8.2,,3.3,3.23,NEUTRAL,339.42,2.0,24.0,0.62,339.1041,C18H17N3O2S,5.0,0.0,0.0
154,1441154,CHEMBL2180340,353.45,3.97,5.0,0.0,54.26,5.0,N,0.0,8.72,,3.86,3.84,NEUTRAL,353.45,2.0,25.0,0.6,353.1198,C19H19N3O2S,5.0,0.0,0.0
155,1441155,CHEMBL2180341,367.47,4.36,5.0,0.0,54.26,6.0,N,0.0,8.87,,4.39,4.37,NEUTRAL,367.47,2.0,26.0,0.56,367.1354,C20H21N3O2S,5.0,0.0,0.0
156,1441156,CHEMBL2180342,381.5,4.6,5.0,0.0,54.26,6.0,N,0.0,8.99,,4.75,4.74,NEUTRAL,381.5,2.0,27.0,0.54,381.1511,C21H23N3O2S,5.0,0.0,0.0
157,1441157,CHEMBL2180343,415.52,5.32,5.0,0.0,54.26,6.0,N,1.0,8.73,,5.23,5.21,NEUTRAL,415.52,3.0,30.0,0.4,415.1354,C24H21N3O2S,5.0,0.0,1.0
158,1441158,CHEMBL2180344,431.59,6.12,5.0,0.0,37.19,6.0,N,1.0,9.53,,6.12,6.12,NEUTRAL,431.59,3.0,30.0,0.27,431.1126,C24H21N3OS2,4.0,0.0,1.0
159,1441159,CHEMBL2180345,307.44,3.24,5.0,1.0,45.98,5.0,N,0.0,8.65,,3.4,3.37,NEUTRAL,307.44,1.0,20.0,0.52,307.0813,C14H17N3OS2,4.0,1.0,0.0
160,1441160,CHEMBL2180346,381.5,4.66,5.0,0.0,54.26,6.0,N,0.0,8.87,,4.9,4.89,NEUTRAL,381.5,2.0,27.0,0.54,381.1511,C21H23N3O2S,5.0,0.0,0.0
161,1441161,CHEMBL2180347,397.5,4.36,6.0,0.0,63.49,7.0,N,0.0,8.87,,4.23,4.22,NEUTRAL,397.5,2.0,28.0,0.51,397.146,C21H23N3O3S,6.0,0.0,0.0
162,1441162,CHEMBL2180348,373.52,4.48,5.0,0.0,54.26,6.0,N,0.0,7.76,,4.53,4.37,NEUTRAL,373.52,1.0,26.0,0.55,373.1824,C20H27N3O2S,5.0,0.0,0.0
163,1441163,CHEMBL2180349,323.42,4.68,5.0,1.0,46.51,6.0,N,0.0,10.34,4.54,5.11,5.1,NEUTRAL,323.42,3.0,23.0,0.53,323.1092,C18H17N3OS,4.0,1.0,0.0
164,1441164,CHEMBL2180350,324.41,4.07,6.0,1.0,59.4,6.0,N,0.0,10.19,4.25,4.28,4.28,NEUTRAL,324.41,3.0,23.0,0.55,324.1045,C17H16N4OS,5.0,1.0,0.0
165,1441165,CHEMBL2180351,324.41,4.07,6.0,1.0,59.4,6.0,N,0.0,10.31,4.53,3.9,3.89,NEUTRAL,324.41,3.0,23.0,0.55,324.1045,C17H16N4OS,5.0,1.0,0.0
166,1441166,CHEMBL2180352,324.41,4.07,6.0,1.0,59.4,6.0,N,0.0,10.33,4.41,3.9,3.89,NEUTRAL,324.41,3.0,23.0,0.55,324.1045,C17H16N4OS,5.0,1.0,0.0
167,1441167,CHEMBL2180353,337.45,4.99,5.0,1.0,46.51,6.0,N,0.0,10.35,4.6,5.63,5.62,NEUTRAL,337.45,3.0,24.0,0.51,337.1249,C19H19N3OS,4.0,1.0,0.0
168,1441168,CHEMBL2180354,263.32,1.66,5.0,1.0,63.05,4.0,N,0.0,7.41,,1.41,1.12,NEUTRAL,263.32,1.0,18.0,0.66,263.0728,C12H13N3O2S,5.0,1.0,0.0
169,1441169,CHEMBL2180355,277.35,2.05,5.0,1.0,63.05,4.0,N,0.0,7.69,,1.98,1.8,NEUTRAL,277.35,1.0,19.0,0.68,277.0885,C13H15N3O2S,5.0,1.0,0.0
170,1441481,CHEMBL2180664,291.38,2.44,5.0,1.0,63.05,5.0,N,0.0,7.83,,2.51,2.37,NEUTRAL,291.38,1.0,20.0,0.67,291.1041,C14H17N3O2S,5.0,1.0,0.0
171,1441482,CHEMBL2180665,305.4,2.68,5.0,1.0,63.05,5.0,N,0.0,7.96,,2.87,2.76,NEUTRAL,305.4,1.0,21.0,0.67,305.1198,C15H19N3O2S,5.0,1.0,0.0
172,1441483,CHEMBL2180666,339.42,3.4,5.0,1.0,63.05,5.0,N,0.0,7.7,,3.35,3.17,NEUTRAL,339.42,2.0,24.0,0.67,339.1041,C18H17N3O2S,5.0,1.0,0.0
173,1441484,CHEMBL2180667,277.35,2.0,5.0,0.0,54.26,4.0,N,0.0,7.34,,1.64,1.31,NEUTRAL,277.35,1.0,19.0,0.62,277.0885,C13H15N3O2S,5.0,0.0,0.0
174,1441485,CHEMBL2180668,291.38,2.39,5.0,0.0,54.26,4.0,N,0.0,7.64,,2.21,2.01,NEUTRAL,291.38,1.0,20.0,0.63,291.1041,C14H17N3O2S,5.0,0.0,0.0
175,1441486,CHEMBL2180669,305.4,2.78,5.0,0.0,54.26,5.0,N,0.0,7.78,,2.73,2.58,NEUTRAL,305.4,1.0,21.0,0.62,305.1198,C15H19N3O2S,5.0,0.0,0.0
176,1441487,CHEMBL2180670,319.43,3.03,5.0,0.0,54.26,5.0,N,0.0,7.91,,3.09,2.98,NEUTRAL,319.43,1.0,22.0,0.62,319.1354,C16H21N3O2S,5.0,0.0,0.0
177,1449131,CHEMBL2218858,505.57,4.21,8.0,1.0,111.01,7.0,N,1.0,,8.09,4.02,3.26,NEUTRAL,505.57,2.0,37.0,0.34,505.2213,C28H31N3O6,9.0,1.0,1.0
178,1501180,CHEMBL2297590,272.17,2.01,2.0,2.0,50.41,2.0,Y,0.0,11.67,1.59,2.28,2.28,NEUTRAL,272.17,1.0,14.0,0.49,270.9779,C9H10BrN3S,3.0,3.0,0.0
179,1573966,CHEMBL2409542,294.38,4.04,5.0,1.0,50.17,4.0,N,0.0,9.57,2.94,4.19,4.19,NEUTRAL,294.38,3.0,21.0,0.58,294.0939,C16H14N4S,4.0,1.0,0.0
180,1578891,CHEMBL2420104,208.29,0.83,3.0,3.0,76.43,2.0,N,0.0,11.67,4.29,0.68,0.68,NEUTRAL,208.29,1.0,14.0,0.29,208.0783,C9H12N4S,4.0,5.0,0.0
181,1578892,CHEMBL2420105,208.29,0.83,3.0,3.0,76.43,2.0,N,0.0,11.67,4.22,0.68,0.68,NEUTRAL,208.29,1.0,14.0,0.29,208.0783,C9H12N4S,4.0,5.0,0.0
182,1578893,CHEMBL2420106,208.29,0.18,3.0,3.0,76.43,3.0,N,0.0,11.65,7.96,0.59,-0.08,NEUTRAL,244.75,1.0,14.0,0.38,208.0783,C9H13ClN4S,4.0,5.0,0.0
183,1578894,CHEMBL2420107,238.27,1.15,4.0,2.0,93.55,3.0,N,0.0,11.67,1.32,1.45,1.45,NEUTRAL,238.27,1.0,16.0,0.36,238.0524,C9H10N4O2S,6.0,3.0,0.0
184,1578895,CHEMBL2420108,253.29,0.09,5.0,3.0,119.57,4.0,N,0.0,11.64,7.87,0.53,-0.07,NEUTRAL,334.2,1.0,17.0,0.3,253.0633,C9H12BrN5O2S,7.0,5.0,0.0
185,1578896,CHEMBL2420109,253.29,0.73,5.0,3.0,119.57,3.0,N,0.0,11.67,3.0,1.27,1.27,NEUTRAL,253.29,1.0,17.0,0.24,253.0633,C9H11N5O2S,7.0,5.0,0.0
186,1578897,CHEMBL2420110,253.29,0.73,5.0,3.0,119.57,3.0,N,0.0,11.67,2.69,1.27,1.27,NEUTRAL,253.29,1.0,17.0,0.24,253.0633,C9H11N5O2S,7.0,5.0,0.0
187,1578898,CHEMBL2420111,253.29,0.09,5.0,3.0,119.57,4.0,N,0.0,11.65,7.88,0.53,-0.07,NEUTRAL,334.2,1.0,17.0,0.3,253.0633,C9H12BrN5O2S,7.0,5.0,0.0
188,1578899,CHEMBL2420112,254.27,0.12,5.0,3.0,113.78,4.0,N,0.0,11.62,0.54,0.63,0.63,NEUTRAL,254.27,1.0,17.0,0.3,254.0474,C9H10N4O3S,7.0,4.0,0.0
189,1578900,CHEMBL2417578,353.36,0.11,6.0,4.0,159.95,8.0,N,0.0,3.67,0.84,0.17,-3.15,ACID,353.36,1.0,24.0,0.22,353.0794,C13H15N5O5S,10.0,5.0,0.0
190,1578901,CHEMBL2420113,354.34,0.54,7.0,3.0,157.15,8.0,N,0.0,3.53,0.48,0.9,-2.47,ACID,354.34,1.0,24.0,0.2,354.0634,C13H14N4O6S,10.0,4.0,0.0
191,1612781,CHEMBL3104697,350.33,4.33,5.0,0.0,103.35,4.0,N,0.0,,,5.03,5.03,,350.33,2.0,26.0,0.46,350.0903,C19H14N2O5,7.0,0.0,0.0
192,1612783,CHEMBL3104699,376.46,6.0,3.0,0.0,42.85,2.0,N,1.0,,4.87,5.91,5.91,NEUTRAL,376.46,4.0,29.0,0.4,376.1576,C26H20N2O,3.0,0.0,1.0
193,1612785,CHEMBL3104701,376.46,6.0,3.0,0.0,42.85,2.0,N,1.0,,5.31,5.14,5.14,NEUTRAL,376.46,4.0,29.0,0.4,376.1576,C26H20N2O,3.0,0.0,1.0
194,1612788,CHEMBL3104704,510.6,2.87,9.0,2.0,118.95,10.0,N,1.0,,0.7,3.8,3.8,NEUTRAL,510.6,4.0,38.0,0.31,510.2379,C29H30N6O3,9.0,2.0,1.0
195,1617070,CHEMBL3114105,328.83,4.69,5.0,1.0,50.17,4.0,N,0.0,9.57,2.92,4.79,4.79,NEUTRAL,328.83,3.0,22.0,0.56,328.0549,C16H13ClN4S,4.0,1.0,0.0
196,1621223,CHEMBL3121897,282.33,1.57,5.0,2.0,102.78,5.0,N,0.0,11.69,0.67,2.11,2.11,NEUTRAL,282.33,1.0,19.0,0.37,282.0787,C11H14N4O3S,7.0,3.0,0.0
197,1621224,CHEMBL3121898,294.38,1.62,4.0,3.0,88.74,5.0,N,0.0,11.69,1.08,1.41,1.41,NEUTRAL,294.38,1.0,20.0,0.44,294.115,C13H18N4O2S,6.0,4.0,0.0
198,1621227,CHEMBL3121901,271.77,2.32,3.0,2.0,59.64,4.0,N,0.0,11.69,0.8,2.78,2.78,NEUTRAL,271.77,1.0,17.0,0.5,271.0546,C11H14ClN3OS,4.0,3.0,0.0
199,1621229,CHEMBL3121903,316.22,2.43,3.0,2.0,59.64,4.0,N,0.0,11.69,0.76,2.94,2.94,NEUTRAL,316.22,1.0,17.0,0.51,315.0041,C11H14BrN3OS,4.0,3.0,0.0
200,1621230,CHEMBL3121904,316.22,2.43,3.0,2.0,59.64,4.0,N,0.0,11.69,0.76,2.94,2.94,NEUTRAL,316.22,1.0,17.0,0.51,315.0041,C11H14BrN3OS,4.0,3.0,0.0
201,1621231,CHEMBL3121905,363.22,2.27,3.0,2.0,59.64,4.0,N,0.0,11.69,0.73,3.1,3.1,NEUTRAL,363.22,1.0,17.0,0.37,362.9902,C11H14IN3OS,4.0,3.0,0.0
202,1621232,CHEMBL3121906,313.43,3.33,3.0,2.0,59.64,5.0,N,0.0,11.69,1.52,3.82,3.82,NEUTRAL,313.43,2.0,22.0,0.5,313.1249,C17H19N3OS,4.0,3.0,0.0
